// W_1(k',q) for Xe_5p
// k'[keV]	q[keV]	W_1
0.1	1	2.17864e-05
0.1	1.07227	2.51007e-05
0.1	1.14976	2.89384e-05
0.1	1.23285	3.33932e-05
0.1	1.32194	3.85815e-05
0.1	1.41747	4.46519e-05
0.1	1.51991	5.17991e-05
0.1	1.62975	6.02863e-05
0.1	1.74753	7.04802e-05
0.1	1.87382	8.29067e-05
0.1	2.00923	9.83433e-05
0.1	2.15443	0.000117956
0.1	2.31013	0.000143827
0.1	2.47708	0.000178288
0.1	2.65609	0.000225597
0.1	2.84804	0.000291671
0.1	3.05386	0.000384709
0.1	3.27455	0.00051523
0.1	3.51119	0.000695286
0.1	3.76494	0.000936177
0.1	4.03702	0.00124433
0.1	4.32876	0.00161559
0.1	4.64159	0.00202967
0.1	4.97702	0.00244783
0.1	5.3367	0.00281684
0.1	5.72237	0.00308041
0.1	6.13591	0.0031948
0.1	6.57933	0.00311142
0.1	7.0548	0.00280777
0.1	7.56463	0.00240755
0.1	8.11131	0.0019706
0.1	8.69749	0.00154889
0.1	9.32603	0.00117626
0.1	10	0.000866871
0.1	10.7227	0.00062022
0.1	11.4976	0.000428653
0.1	12.3285	0.000283217
0.1	13.2194	0.000176402
0.1	14.1747	0.000102183
0.1	15.1991	5.49354e-05
0.1	16.2975	2.86097e-05
0.1	17.4753	1.67399e-05
0.1	18.7382	1.31634e-05
0.1	20.0923	1.29335e-05
0.1	21.5443	1.29037e-05
0.1	23.1013	1.17361e-05
0.1	24.7708	9.42105e-06
0.1	26.5609	6.6006e-06
0.1	28.4804	3.98836e-06
0.1	30.5386	2.03932e-06
0.1	32.7455	8.7193e-07
0.1	35.1119	3.52954e-07
0.1	37.6494	2.38897e-07
0.1	40.3702	2.96476e-07
0.1	43.2876	3.67983e-07
0.1	46.4159	3.8279e-07
0.1	49.7702	3.35126e-07
0.1	53.367	2.51291e-07
0.1	57.2237	1.62563e-07
0.1	61.3591	9.04011e-08
0.1	65.7933	4.29379e-08
0.1	70.548	1.81897e-08
0.1	75.6463	9.31938e-09
0.1	81.1131	8.95536e-09
0.1	86.9749	1.15198e-08
0.1	93.2603	1.3812e-08
0.1	100	1.45861e-08
0.1	107.227	1.38022e-08
0.1	114.976	1.1957e-08
0.1	123.285	9.6425e-09
0.1	132.194	7.32782e-09
0.1	141.747	5.29625e-09
0.1	151.991	3.66664e-09
0.1	162.975	2.44545e-09
0.1	174.753	1.57861e-09
0.1	187.382	9.90183e-10
0.1	200.923	6.05496e-10
0.1	215.443	3.61978e-10
0.1	231.013	2.12069e-10
0.1	247.708	1.22016e-10
0.1	265.609	6.90743e-11
0.1	284.804	3.854e-11
0.1	305.386	2.12261e-11
0.1	327.455	1.15555e-11
0.1	351.119	6.22605e-12
0.1	376.494	3.32379e-12
0.1	403.702	1.75992e-12
0.1	432.876	9.25085e-13
0.1	464.159	4.83119e-13
0.1	497.702	2.50856e-13
0.1	533.67	1.29591e-13
0.1	572.237	6.66433e-14
0.1	613.591	3.41347e-14
0.1	657.933	1.74219e-14
0.1	705.48	8.86413e-15
0.1	756.463	4.49758e-15
0.1	811.131	2.2765e-15
0.1	869.749	1.14983e-15
0.1	932.603	5.79674e-16
0.1	1000	2.91759e-16
0.107227	1	2.50474e-05
0.107227	1.07227	2.88578e-05
0.107227	1.14976	3.327e-05
0.107227	1.23285	3.83915e-05
0.107227	1.32194	4.43563e-05
0.107227	1.41747	5.13351e-05
0.107227	1.51991	5.9552e-05
0.107227	1.62975	6.93092e-05
0.107227	1.74753	8.10284e-05
0.107227	1.87382	9.53141e-05
0.107227	2.00923	0.00011306
0.107227	2.15443	0.000135606
0.107227	2.31013	0.000165346
0.107227	2.47708	0.000204961
0.107227	2.65609	0.000259345
0.107227	2.84804	0.0003353
0.107227	3.05386	0.000442252
0.107227	3.27455	0.000592295
0.107227	3.51119	0.000799287
0.107227	3.76494	0.00107622
0.107227	4.03702	0.0014305
0.107227	4.32876	0.00185733
0.107227	4.64159	0.00233342
0.107227	4.97702	0.00281422
0.107227	5.3367	0.00323853
0.107227	5.72237	0.00354162
0.107227	6.13591	0.00367318
0.107227	6.57933	0.00357738
0.107227	7.0548	0.0032283
0.107227	7.56463	0.00276816
0.107227	8.11131	0.00226578
0.107227	8.69749	0.0017809
0.107227	9.32603	0.00135247
0.107227	10	0.000996728
0.107227	10.7227	0.00071313
0.107227	11.4976	0.000492867
0.107227	12.3285	0.000325644
0.107227	13.2194	0.000202829
0.107227	14.1747	0.000117491
0.107227	15.1991	6.31651e-05
0.107227	16.2975	3.28955e-05
0.107227	17.4753	1.92472e-05
0.107227	18.7382	1.51347e-05
0.107227	20.0923	1.48703e-05
0.107227	21.5443	1.48361e-05
0.107227	23.1013	1.34938e-05
0.107227	24.7708	1.0832e-05
0.107227	26.5609	7.58917e-06
0.107227	28.4804	4.58571e-06
0.107227	30.5386	2.34476e-06
0.107227	32.7455	1.00253e-06
0.107227	35.1119	4.05818e-07
0.107227	37.6494	2.74674e-07
0.107227	40.3702	3.40874e-07
0.107227	43.2876	4.23091e-07
0.107227	46.4159	4.40115e-07
0.107227	49.7702	3.85314e-07
0.107227	53.367	2.88925e-07
0.107227	57.2237	1.86908e-07
0.107227	61.3591	1.0394e-07
0.107227	65.7933	4.93684e-08
0.107227	70.548	2.09139e-08
0.107227	75.6463	1.07151e-08
0.107227	81.1131	1.02965e-08
0.107227	86.9749	1.3245e-08
0.107227	93.2603	1.58804e-08
0.107227	100	1.67704e-08
0.107227	107.227	1.58691e-08
0.107227	114.976	1.37476e-08
0.107227	123.285	1.10865e-08
0.107227	132.194	8.42522e-09
0.107227	141.747	6.08941e-09
0.107227	151.991	4.21575e-09
0.107227	162.975	2.81167e-09
0.107227	174.753	1.81502e-09
0.107227	187.382	1.13847e-09
0.107227	200.923	6.96173e-10
0.107227	215.443	4.16187e-10
0.107227	231.013	2.43827e-10
0.107227	247.708	1.40288e-10
0.107227	265.609	7.94187e-11
0.107227	284.804	4.43116e-11
0.107227	305.386	2.44048e-11
0.107227	327.455	1.3286e-11
0.107227	351.119	7.15845e-12
0.107227	376.494	3.82156e-12
0.107227	403.702	2.02348e-12
0.107227	432.876	1.06362e-12
0.107227	464.159	5.5547e-13
0.107227	497.702	2.88423e-13
0.107227	533.67	1.48998e-13
0.107227	572.237	7.66236e-14
0.107227	613.591	3.92466e-14
0.107227	657.933	2.0031e-14
0.107227	705.48	1.01916e-14
0.107227	756.463	5.17113e-15
0.107227	811.131	2.61743e-15
0.107227	869.749	1.32202e-15
0.107227	932.603	6.66484e-16
0.107227	1000	3.35452e-16
0.114976	1	2.87964e-05
0.114976	1.07227	3.3177e-05
0.114976	1.14976	3.82495e-05
0.114976	1.23285	4.41375e-05
0.114976	1.32194	5.09949e-05
0.114976	1.41747	5.90181e-05
0.114976	1.51991	6.84645e-05
0.114976	1.62975	7.96816e-05
0.114976	1.74753	9.31541e-05
0.114976	1.87382	0.000109577
0.114976	2.00923	0.000129977
0.114976	2.15443	0.000155895
0.114976	2.31013	0.000190082
0.114976	2.47708	0.000235621
0.114976	2.65609	0.000298135
0.114976	2.84804	0.000385446
0.114976	3.05386	0.00050839
0.114976	3.27455	0.000680871
0.114976	3.51119	0.000918824
0.114976	3.76494	0.00123719
0.114976	4.03702	0.00164449
0.114976	4.32876	0.00213522
0.114976	4.64159	0.0026826
0.114976	4.97702	0.00323541
0.114976	5.3367	0.00372332
0.114976	5.72237	0.00407186
0.114976	6.13591	0.00422319
0.114976	6.57933	0.00411314
0.114976	7.0548	0.00371182
0.114976	7.56463	0.00318279
0.114976	8.11131	0.00260518
0.114976	8.69749	0.00204769
0.114976	9.32603	0.00155507
0.114976	10	0.00114604
0.114976	10.7227	0.000819962
0.114976	11.4976	0.000566703
0.114976	12.3285	0.000374429
0.114976	13.2194	0.000233215
0.114976	14.1747	0.000135093
0.114976	15.1991	7.26281e-05
0.114976	16.2975	3.78234e-05
0.114976	17.4753	2.21301e-05
0.114976	18.7382	1.74013e-05
0.114976	20.0923	1.70972e-05
0.114976	21.5443	1.70579e-05
0.114976	23.1013	1.55146e-05
0.114976	24.7708	1.24543e-05
0.114976	26.5609	8.72581e-06
0.114976	28.4804	5.27253e-06
0.114976	30.5386	2.69596e-06
0.114976	32.7455	1.15269e-06
0.114976	35.1119	4.666e-07
0.114976	37.6494	3.15809e-07
0.114976	40.3702	3.91922e-07
0.114976	43.2876	4.86451e-07
0.114976	46.4159	5.06026e-07
0.114976	49.7702	4.43019e-07
0.114976	53.367	3.32195e-07
0.114976	57.2237	2.149e-07
0.114976	61.3591	1.19506e-07
0.114976	65.7933	5.67621e-08
0.114976	70.548	2.4046e-08
0.114976	75.6463	1.23198e-08
0.114976	81.1131	1.18385e-08
0.114976	86.9749	1.52285e-08
0.114976	93.2603	1.82586e-08
0.114976	100	1.92819e-08
0.114976	107.227	1.82457e-08
0.114976	114.976	1.58064e-08
0.114976	123.285	1.27468e-08
0.114976	132.194	9.68696e-09
0.114976	141.747	7.00134e-09
0.114976	151.991	4.84709e-09
0.114976	162.975	3.23274e-09
0.114976	174.753	2.08683e-09
0.114976	187.382	1.30896e-09
0.114976	200.923	8.00431e-10
0.114976	215.443	4.78514e-10
0.114976	231.013	2.80342e-10
0.114976	247.708	1.61298e-10
0.114976	265.609	9.13123e-11
0.114976	284.804	5.09476e-11
0.114976	305.386	2.80596e-11
0.114976	327.455	1.52757e-11
0.114976	351.119	8.23048e-12
0.114976	376.494	4.39386e-12
0.114976	403.702	2.32651e-12
0.114976	432.876	1.22291e-12
0.114976	464.159	6.38655e-13
0.114976	497.702	3.31617e-13
0.114976	533.67	1.71312e-13
0.114976	572.237	8.80985e-14
0.114976	613.591	4.5124e-14
0.114976	657.933	2.30307e-14
0.114976	705.48	1.17179e-14
0.114976	756.463	5.94554e-15
0.114976	811.131	3.00941e-15
0.114976	869.749	1.52e-15
0.114976	932.603	7.66295e-16
0.114976	1000	3.85688e-16
0.123285	1	3.31061e-05
0.123285	1.07227	3.81423e-05
0.123285	1.14976	4.39738e-05
0.123285	1.23285	5.07429e-05
0.123285	1.32194	5.86264e-05
0.123285	1.41747	6.78501e-05
0.123285	1.51991	7.87098e-05
0.123285	1.62975	9.16051e-05
0.123285	1.74753	0.000107093
0.123285	1.87382	0.000125972
0.123285	2.00923	0.000149423
0.123285	2.15443	0.000179216
0.123285	2.31013	0.000218515
0.123285	2.47708	0.00027086
0.123285	2.65609	0.000342718
0.123285	2.84804	0.000443081
0.123285	3.05386	0.000584403
0.123285	3.27455	0.000782672
0.123285	3.51119	0.00105621
0.123285	3.76494	0.0014222
0.123285	4.03702	0.00189044
0.123285	4.32876	0.00245463
0.123285	4.64159	0.00308397
0.123285	4.97702	0.0037196
0.123285	5.3367	0.00428064
0.123285	5.72237	0.00468146
0.123285	6.13591	0.00485555
0.123285	6.57933	0.00472913
0.123285	7.0548	0.00426777
0.123285	7.56463	0.00365955
0.123285	8.11131	0.00299544
0.123285	8.69749	0.00235444
0.123285	9.32603	0.00178804
0.123285	10	0.00131774
0.123285	10.7227	0.000942805
0.123285	11.4976	0.000651605
0.123285	12.3285	0.000430526
0.123285	13.2194	0.000268156
0.123285	14.1747	0.000155333
0.123285	15.1991	8.35095e-05
0.123285	16.2975	4.34898e-05
0.123285	17.4753	2.54448e-05
0.123285	18.7382	2.00073e-05
0.123285	20.0923	1.96575e-05
0.123285	21.5443	1.96124e-05
0.123285	23.1013	1.78381e-05
0.123285	24.7708	1.43195e-05
0.123285	26.5609	1.00327e-05
0.123285	28.4804	6.06224e-06
0.123285	30.5386	3.09977e-06
0.123285	32.7455	1.32534e-06
0.123285	35.1119	5.36489e-07
0.123285	37.6494	3.63105e-07
0.123285	40.3702	4.50613e-07
0.123285	43.2876	5.593e-07
0.123285	46.4159	5.81808e-07
0.123285	49.7702	5.09366e-07
0.123285	53.367	3.81945e-07
